提供機關名稱,資料集名稱,瀏覽次數,下載次數,資料集評分,上架日期
文化部,蒙藏補助團體私人情形季報表,"7,681","1,103",100,2013/03/18
文化部,西藏統計資料,"5,844",834,,2013/03/18
文化部,蒙古統計資料,"4,409",360,,2013/03/18
文化部,蒙藏性別主流化訓練統計表,"4,327",373,80,2013/03/18
中華郵政股份有限公司,3+2碼郵遞區號,"46,868","17,740",40,2016/08/22
中華郵政股份有限公司,縣市鄉鎮中英對照檔,"28,694","30,471",100,2016/08/22
中華郵政股份有限公司,中華郵政全國營業據點,"13,267","4,984",60,2017/04/10
臺灣省諮議會,臺灣省諮議會園區公共廁所資訊,"4,748",572,100,2013/03/19
臺灣省諮議會,臺灣省諮議會園區停車場資訊,"4,666",560,60,2013/03/19
臺灣省諮議會,臺灣省諮議會園區雕像作品資訊,"3,396",286,100,2013/03/19
臺灣省諮議會,臺灣省諮議會園區週邊餐廳資訊,"4,364",658,80,2013/03/19
臺灣省諮議會,臺灣省諮議會歷屆議員名單,"5,654",457,20,2013/03/19
外交部,中華民國駐外單位聯合網站活動訊息,"5,463",587,,2013/03/21
勞動部職業安全衛生署,職業傷病防治中心名單,"8,728","2,410",100,2013/03/21
警政署,各縣(市)警察(分)局暨所屬分駐(派出)所地址資料,"43,417","6,444",60,2014/03/13
國家發展委員會,行政院公報,"15,850","2,184",80,2013/03/26
國家發展委員會,數位機會調查,"10,190","2,700",100,2013/03/26
國家發展委員會,CNS11643中文標準交換碼全字庫(簡稱全字庫),"261,839","46,519",100,2015/02/01
國家發展委員會,iTaiwan中央行政機關室內公共區域免費無線上網熱點查詢服務,"134,780","5,780",,2015/02/01
行政院公共工程委員會,當年度工程查核及複查結果,"7,863",806,80,2013/03/26
衛生福利部統計處,死因統計,"48,286","7,585",100,2013/03/26
內政部國土測繪中心,地政事務所轄區圖,"10,245",928,40,2014/03/13
內政部國土測繪中心,村里界圖(TWD97_123分帶),"35,644","5,206",100,2014/03/13
消防署,救援與應變單位點位,"13,118","1,605",20,2014/03/13
經濟部,經濟統計區圖資,"11,415","1,501",100,2013/03/27
經濟部國際貿易局,"貨品基本資料 (統計參考用)","9,634",972,,2013/03/27
經濟部中小企業處,年度中小企業重要統計表,"51,299","8,758",80,2013/03/27
經濟部中小企業處,國家磐石獎,"6,723","1,003",80,2013/03/27
經濟部中小企業處,創新研究獎,"6,770","1,047",100,2013/03/27
經濟部中小企業處,小巨人獎,"7,606","1,131",100,2013/03/27
經濟部中央地質調查所,臺灣活動斷層分布圖(五十萬分之一紙圖版更新數值檔),"15,012","1,949",80,2013/03/27
經濟部加工出口區管理處,楠梓、高雄軟體園區就業資訊,"9,666","1,152",80,2013/03/27
經濟部標準檢驗局,ISO認可登錄廠商查詢,"19,953","2,982",80,2013/03/27
經濟部標準檢驗局,各類貨品檢驗合格名單,"9,443","1,021",100,2013/03/27
